id,question,A,B,C,D,correct_answer
1,What is the sigil of House Stark?,a grey Direwolf on a white background,a golden Kraken on a black field,a golden rose on a pale green field,a crowned black stag on a gold field,A
2,What is the capital of the Seven Kingdoms?,Dragonstone,Winterfell,King's Landing,Casterly Rock,C
3,What do the men and women of the realm call the creatures that killed Waymar?,The Others,Shadow walkers,Wights,Wildings,A
4,"When Lysa sends a message about Jon Arryn’s death to Catelyn, what else is contained in the box with the message?",A lens,A dagger,A cipher for Lysa’s secret code,An onyx arrowhead,A
5,What convinces Ned to change his mind and leave Winterfell to serve as Hand of the King?,Luwin tells Ned that he will gain great riches by taking such a powerful position.,Catelyn convinces Ned that he must serve in order to protect Robert and the Stark family from the Lannisters.,Ned realizes that someone has been spying on Winterfell using the lens in the message to Catelyn.,Robert tells Ned that he will appoint Jaime if Ned does not take the position.,B
6,Who is responsible for informing Robert that Daenerys has wed Drogo?,Ned,Viserys,Jorah,Littlefinger,C
7,Who gives Daenerys three dragon eggs as a wedding gift?,Viserys,Illyrio,Jorah,Drogo,B
8,What is the sigil of House Baratheon?,A grey direwolf,A roaring lion,A charging boar,A crowned stag,D
9,"Why does Arya’s wolf, Nymeria, run away?",Joff attacks it with his sword.,"Sansa’s wolf, Lady, bites Nymeria.",Arya throws rocks at Nymeria.,Arya throws Nymeria into the Trident.,C
10,What are the words of House Tully?,Winter Is Coming,Ours is the Fury,Hear Me Roar!,"Family, Duty, Honor",D
11,The treacherous and weaselly Freys occupy a strategically important stronghold between the north and the south. What is the name of this fortress?,the Freyhold, the Twins,Casterly Rock,Castamere,B
12,There are three main tributaries of the Trident. Name them.,"the Green, the Blue, and the Red","the Upper, the Middle, and the Lower","the Gold, the Silver, and the Copper","the Lion, the Dragon, and the Bear",A
13,"Which of these is one of the Iron Islands, home of the Greyjoys?",Tarth,Fair Isle,Greenstone,Great Wyk,D
14,Which island on the southwest tip of Westeros is famous for its wine?,the Shield,the Arbor,Driftmark,Lemonwood,B
15,"If someone has the last name Stone, you can assume that he/she is illegitimate and comes from which part of Westeros?",the Reach,the Riverlands,the Iron Islands,the Vale of Arryn,D
16,Which river flows by King's Landing?,Mander,Greenblood,Trident,Blackwater Rush,D
17,Where would you find the Isle of Faces?,in Whispering Sound,in Blackwater Bay,in the middle of the lake called God's Eye,in the Stepstones,C
18,"Jorah Mormont, the close advisor and confidant of Daenerys, and his father, Jeor Mormont, Lord Commander of the Knight's Watch, both hail from which cold and isolated place?",Banefort,Dragonstone,Bear Island,Griffin's Roost,C
19,What is the last river the Kingsroad crosses before it reaches the Wall?,the Weeping Water,the Tumblestone,the White Knife,the Last River,D
20,Petyr Baelish hailed from one of four rocky peninsulas that jut out into the Narrow Sea. What are these peninsulas named?,the Paps,the Fingers,the Grey Deaths,the Widows,B
21,What is the mountain range just north of the Wall?,the Skirling Hills,the Milkwater Mountains,the Thenns,the Frostfangs,D
22,"Everyone has heard the idiom, ""as rich as a Lannister."" But why are the lands around Lannisport and Casterly Rock so valuable?",gold mines provide the wealth,the seaports control trade with the west,the soil is the most fertile in Westeros,they have a monopoly on the spice trade,A
23,The land for 50 leagues south of the Wall belongs to the Black Watch. What is this area called?,the Gift,the Sentinels,the Blacklands,Queenscrown,A
24,What large gulf separates the North from the South of Westeros?,the Byrne,the Wash,the Bite,the Gash,C
25,Where do the Crannogmen live?,the marshy lands of the Neck,along Shipbreaker Bay,the mountains of Dorne,north of the Wall,A
26,"Who is known as the ""Kingslayer""?",Jaime Lannister,Robb Stark,Theon Greyjoy,Stannis Baratheon,A
27,What is the motto of House Stark?,Fire and Blood,Growing Strong,Hear Me Roar!,Winter is Coming,D
28,Who is the mother of dragons?,Cersei Lannister,Melisandre,Daenerys Targaryen,Sansa Stark,C
29,Who is Jon Snow's direwolf?,Ghost,Grey Wind,Nymeria,Summer,A
30,Who was the Hand of the King before Eddard Stark?,Tywin Lannister,Jon Arryn,Stannis Baratheon,Renly Baratheon,B
31,What is the name of Arya Stark's sword?,Needle,Oathkeeper,Widow's Wail,Ice,A
32,Which house is known for its wealth and mines of gold?,House Stark,House Greyjoy,House Targaryen,House Lannister,D
33,Who is the youngest Stark child?,Arya,Bran,Rickon,Sansa,C
34,"Who is known as ""Littlefinger""?",Varys,Petyr Baelish,Sandor Clegane,Bronn,B
35,Who was responsible for the creation of the Iron Throne?,Aegon the Conqueror,Robert Baratheon,Rhaegar Targaryen,Viserys Targaryen,A
36,"Which city is known as the ""Free City""?",King's Landing,Winterfell,Qarth,Braavos,D
37,Who was the 997th Lord Commander of the Night's Watch?,Jon Snow,Jeor Mormont,Samwell Tarly,Alliser Thorne,B
38,Which House uses a mockingbird as its sigil?,House Arryn,House Tyrell,House Tully,House Baelish,D
39,Who killed King Robert Baratheon?,Jaime Lannister,Eddard Stark,Cersei Lannister,A boar during a hunt,D
40,"Which character is known for saying, ""You know nothing, Jon Snow""?",Ygritte,Arya Stark,Sansa Stark,Melisandre,A
41,What is the ancestral sword of House Stark called?,Longclaw,Ice,Oathkeeper,Blackfyre,B
42,"Who wrote ""A Song of Ice and Fire""?",J.K. Rowling,George R.R. Martin,J.R.R. Tolkien,Brandon Sanderson,B
43,"Which character is referred to as ""The Red Woman""?",Catelyn Stark,Melisandre,Daenerys Targaryen,Margaery Tyrell,B
44,Where is the Wall located?,The Reach,The Riverlands,The North,Dorne,C
45,Who is the youngest daughter of Eddard Stark?,Arya,Sansa,Lyanna,Myrcella Baratheon,A
46,"Which character is known as the ""Young Dragon""?",Rhaegar Targaryen,Aegon IV Targaryen,Daeron I Targaryen,Viserys I Targaryen,C
47,"Which house's words are ""Fire and Blood""?",House Stark,House Tully,House Targaryen,House Lannister,C
48,"Who wrote ""The World of Ice & Fire""?",Elio M. García Jr. and Linda Antonsson,George R.R. Martin,J.R.R. Tolkien,J.K. Rowling,A
49,Who was the last Targaryen king to sit on the Iron Throne before Robert's Rebellion?,Aerys II Targaryen,Viserys II Targaryen,Rhaegar Targaryen,Daeron II Targaryen,A
50,What is the name of the continent to the east of Westeros?,Essos,Sothoryos,Ulthos,Skagos,A
51,Who is the Lord of Storm's End at the beginning of the book series?,Renly Baratheon,Stannis Baratheon,Robert Baratheon,Gendry Baratheon,A
52,Which Targaryen king created the Kingsguard?,Aegon I,Maegor I,Jaehaerys I,Aegon II,C
53,"Who is known as the ""Queen Who Never Was""?",Rhaenys Targaryen,Alysanne Targaryen,Visenya Targaryen,Daena Targaryen,A
54,What is the name of the Targaryen ancestral seat on Dragonstone?,Blackwater Bay,Dragonmont,Driftmark,Rook's Rest,B
55,Who was the founder of House Lannister?,Lyman Lannister,Gerold Lannister,Tytos Lannister,Lann the Clever,D
56,What is the name of the ancestral sword of House Tarly?,Heartsbane,Widow's Wail,Dark Sister,Brightroar,A
57,"Which character is known for saying, ""The night is dark and full of terrors""?",Melisandre,Davos Seaworth,Jon Snow,Tyrion Lannister,A
58,Who leads the Brotherhood Without Banners?,Brienne of Tarth,Beric Dondarrion,Sandor Clegane,Thoros of Myr,B
59,What is the name of the Valyrian steel sword wielded by Brienne of Tarth?,Ice,Oathkeeper,Longclaw,Blackfyre,B
60,Who was the first king of the Iron Islands to declare independence after Aegon's Conquest?,Euron Greyjoy,Balon Greyjoy,Harren the Black,Rodrik Greyjoy,B
61,Which Targaryen king built the Red Keep in King's Landing?,Aegon I,Maegor I,Jaehaerys I,Aerys II,B
62,What is the motto of House Martell?,Ours is the Fury,"Unbowed, Unbent, Unbroken",We Do Not Sow,Growing Strong,B
63,"Who did Rhaegar Targaryen allegedly kidnap, leading to Robert's Rebellion?",Lyanna Stark,Elia Martell,Ashara Dayne,Arianne Martell,A
64,Who is the commander of the Unsullied?,Daario Naharis,Missandei,Grey Worm,Jorah Mormont,C
65,What is the motto of House Greyjoy?,"Family, Duty, Honor",We Do Not Sow,"Unbowed, Unbent, Unbroken",Ours is the Fury,B
66,What is the name of the ancestral sword of House Mormont?,Longclaw,Oathkeeper,Widow's Wail,Heartsbane,A
67,Who betrayed Robb Stark at the Red Wedding?,Roose Bolton,Jaime Lannister,Balon Greyjoy,Tyrion Lannister,A
68,What is the capital of the Reach?,Storm's End,Highgarden,Sunspear,Riverrun,B
69,"Who is known as ""The Lightning Lord""?",Beric Dondarrion,Sandor Clegane,Gregor Clegane,Davos Seaworth,A
